id,truth_rule,裁定,理由
002227_2026-04-21,财务类,B,扣除后营收2.65亿<3亿且净利-0.67亿（9.3.1(一)）
000698_2025-10-01,合规/治理类,A,收到行政处罚事先告知书·年报财务指标虚假记载
000677_2026-04-30,合规/治理类,A,2025年度内部控制被出具否定意见（9.8.1(四)）
000608_2025-04-19,财务类,B,三者孰低为负且扣除后营收<3亿（9.3.1(一)）
300209_2024-09-30,重整/破产,C,法院裁定受理重整（10.4.1(九)） +另:B 上年末归母净资产为负
603007_2024-04-30,合规/治理类,A,控股股东非经营性资金占用未清偿（9.8.1(一)）；另述内控否定意见（同类A）
603869_2024-04-30,合规/治理类,A,2023年度内控被出具否定意见（9.8.1）
300462_2025-07-05,合规/治理类,A,行政处罚事先告知书·2020-2021年报涉嫌虚假记载
002717_2026-06-03,合规/治理类,B,特别提示2先列财务类（三者均为负且扣除后营收<3亿、净资产为负） +另:A 内控否定意见·主要银行账户被冻结·处罚事先告知书
000070_2024-05-22,合规/治理类,A,行政处罚及市场禁入事先告知书·年报虚假记载
601010_2026-04-29,合规/治理类,A,2025年度内部控制被出具否定意见（9.8.1(三)）
300460_2025-12-10,合规/治理类,A,行政处罚事先告知书·2021-2022年报虚假记载
300205_2025-04-29,合规/治理类,B,2024年度财务报表被出具无法表示意见（10.3.1(三)） +另:A 内控否定意见·前次违规担保
002124_2024-04-30,重整/破产,B,连续三年扣非前后孰低为负且持续经营存在不确定性（9.8.1(七)）
000793_2025-03-17,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（9.8.1(八)）
000610_2026-04-24,财务类,B,2025年末归母净资产-0.55亿为负（9.3.1(二)）
688201_2026-04-28,未归类,A,2025年度内控被出具否定意见（12.9.1(三)）
600476_2026-04-28,财务类,B,2025年末归母净资产-4.45亿为负（9.3.2(二)）
600818_2026-04-28,未归类,A,2025年度财务报告内部控制被出具否定意见（9.8.1(三)）
000595_2025-04-26,财务类,B,三者孰低为负且扣除后营收2.23亿<3亿（9.3.1(一)）
002742_2023-04-29,合规/治理类,A,关联方非经营性资金占用+违规担保未按期解决（9.8.1(一)）；另述内控否定意见（同类A）
300225_2025-07-02,合规/治理类,B,2024年度财务报表被出具无法表示意见（10.3.1(三)） +另:A 内控否定意见
002547_2026-04-29,合规/治理类,B,2025年末归母净资产为负（9.3.1(二)）；另述连续三年扣非为负+持续经营不确定（同类B）
002748_2024-05-16,合规/治理类,A,行政处罚事先告知书/决定书·2019-2020年报虚假记载
300152_2025-04-29,合规/治理类,A,2024年度财务报告内部控制被出具否定意见（9.4(四)）
600165_2024-04-03,未归类,E,重要控股子公司停产·生产经营活动受严重影响且预计3个月内不能恢复（9.8.1(四)）
600337_2026-04-30,未归类,B,连续三年扣非前后孰低为负且持续经营存在不确定性（9.8.1(六)）
300068_2026-05-06,合规/治理类,A,公司及子公司主要银行账户被冻结（9.4(二)）；前次系内控否定意见（同类A）
603272_2026-04-28,财务类,B,三者孰低为负且扣除后营收1.27亿<3亿（9.3.2(一)）
000620_2023-04-29,未归类,B,2022年末净资产为负（9.3.1(二)）；另述连续三年扣非为负+持续经营不确定（同类B）
002197_2024-09-05,合规/治理类,A,2023年度内控被出具否定意见（9.8.1(四)）；另述处罚事先告知书·虚假记载（同类A）
000504_2025-04-22,财务类,B,业绩预告修正·预计净利/扣非为负且扣除后营收1.30亿<3亿（9.3.1(一)）
002630_2025-04-29,合规/治理类,A,2024年度内控被出具无法表示意见（9.8.1(四)）
002883_2026-04-30,财务类,B,三者孰低为负且扣除后营收2.51亿<3亿（9.3.1(一)）
002598_2026-05-09,合规/治理类,A,2025年度内控被出具否定意见（9.8.1(四)）；另述前次年报虚假记载受罚（同类A）
000639_2026-04-29,合规/治理类,A,2025年度财务报告内部控制被出具否定意见（9.8.1(四)）
300125_2024-08-19,合规/治理类,A,子公司未履行程序违规对外担保1600万且未解决（9.4(五)）
601718_2026-04-30,合规/治理类,A,行政处罚事先告知书·年报财务指标虚假记载（9.8.1(七)）
002932_2026-04-21,财务类,B,三者孰低为负且扣除后营收2.41亿<3亿（9.3.1(一)）
