id,truth_rule,裁定,理由
600287_2024-07-06,合规/治理类,A,9.8.1(七)证监会处罚
603828_2024-04-30,合规/治理类,A,9.8.1(三)内控被否
603363_2024-04-30,财务类,B,9.3.2(二)净资产为负
002289_2023-04-27,未归类,B,9.8.1(七)三年扣非负
603559_2023-10-12,合规/治理类,A,9.8.1(五)账户冻结
002431_2026-04-25,未归类,B,9.8.1(七)三年扣非负
002848_2025-04-25,财务类,B,9.3.1(一)营收<3亿
603023_2024-04-30,财务类,B,9.3.2(一)营收<1亿
301288_2025-04-29,财务类,B,10.3.1(一)营收<1亿
002310_2024-11-23,财务类,C,9.4.1法院受理重整
603721_2025-04-30,财务类,B,9.3.2(一)三项孰低为负
300430_2026-04-30,合规/治理类,B,10.3.1(三)财报+另:A
300527_2025-08-12,合规/治理类,A,9.4(七)证监会事先告知
300295_2026-04-23,财务类,B,10.3.1(一)营收<1亿
301030_2026-04-30,合规/治理类,B,10.3.1净资产为负+另:A
603595_2025-10-30,合规/治理类,A,9.8.1(七)虚假记载
003032_2025-04-22,财务类,B,9.3.1(一)营收<3亿
001270_2025-04-23,财务类,B,9.3.1(一)营收<3亿
002726_2026-04-29,合规/治理类,A,9.8.1内控否定+另:B
300506_2024-04-26,财务类,B,10.3.1(一)净利负营收低
000697_2023-03-22,未归类,B,9.3.1净资产为负
300343_2025-03-22,合规/治理类,A,9.4(七)虚假记载
603959_2024-04-30,合规/治理类,A,9.8.1(三)内控被否
000736_2025-04-15,财务类,B,9.3.1净资产为负
688646_2025-04-30,未归类,A,12.9.1(三)内控被否
600136_2023-06-06,合规/治理类,C,9.4.1法院受理重整
002528_2025-04-30,合规/治理类,B,9.8.1(七)三年扣非负
002542_2026-04-18,财务类,B,9.3.1净资产为负
002656_2023-06-30,合规/治理类,A,9.8.1(四)内控无法表示
002721_2023-07-21,重整/破产,C,9.4.1法院受理重整
600053_2026-04-29,财务类,B,9.3.2(一)净利负营收低
002047_2025-04-24,财务类,B,9.3.1(二)预计净资产负
688053_2025-09-20,合规/治理类,A,12.9.1(七)虚假记载
600537_2026-04-28,财务类,B,9.3.2(二)净资产为负
002581_2026-04-29,财务类,B,9.3.1净利负营收低
605336_2026-04-22,财务类,B,9.3.2(一)营收<3亿
600370_2026-04-29,合规/治理类,B,9.3.2(三)财报+另:A
603822_2025-12-10,合规/治理类,A,9.8.1(七)虚假记载
603789_2025-04-30,财务类,B,9.3.2(一)营收<3亿
002198_2026-04-30,合规/治理类,A,9.8.1(四)内控被否
002102_2026-04-29,合规/治理类,A,9.8.1(四)内控被否
000838_2026-04-24,财务类,B,9.3.1(二)净资产为负
600180_2026-04-29,未归类,B,9.3.2(三)财报+另:A
002789_2025-04-25,财务类,B,9.3.1(二)净资产为负
600491_2026-04-30,未归类,B,9.8.1(六)三年扣非负
600340_2026-04-30,财务类,B,9.3.2(二)净资产为负
600080_2026-04-29,合规/治理类,A,9.8.1(三)内控被否
688496_2026-04-29,未归类,A,12.9.1(三)内控被否
603557_2024-04-27,合规/治理类,B,9.8.1(六)三年扣非负
603813_2025-04-29,财务类,B,9.3.2(一)营收<3亿
301139_2026-05-09,合规/治理类,A,证监会告知书14号虚假记载
600439_2026-07-31,合规/治理类,A,9.8.1(七)虚假记载
000929_2025-04-29,财务类,B,9.3.1(一)营收<3亿
688066_2026-04-30,未归类,B,12.4.2净资产为负+另:A
000010_2026-04-29,合规/治理类,B,9.3.1(三)财报+另:A
000656_2024-04-23,重整/破产,C,9.4.1(七)法院受理重整
300211_2025-04-30,财务类,B,10.3.1(一)营收<1亿
300093_2025-04-29,未归类,B,10.3.1(一)营收<1亿
002055_2026-04-29,未归类,B,9.8.1(七)三年扣非负
000056_2026-04-24,未归类,B,9.3.1(二)净资产为负
